id,user,activity,x_mean,x_std,x_max,x_min,x_median,x_skew,x_kurtosis,x_mad,x_abs_dev,y_mean,y_std,y_max,y_min,y_median,y_skew,y_kurtosis,y_mad,y_abs_dev,z_mean,z_std,z_max,z_min,z_median,z_skew,z_kurtosis,z_mad,z_abs_dev,mag_mean,mag_std,mag_energy,mag_entropy,x_fft_mean,x_fft_std,x_fft_max,x_fft_peak_freq,y_fft_mean,y_fft_std,y_fft_max,y_fft_peak_freq,z_fft_mean,z_fft_std,z_fft_max,z_fft_peak_freq,xy_corr,xz_corr,yz_corr,x_peak_dist_mean,y_peak_dist_mean,z_peak_dist_mean
s_1,u_1,Jogging,-6.11,7.99,8.12,-19.23,-3.06,-0.4517,-1.199,4.79,7.027,6.805,8.664,19.77,-7.82,4.56,0.2455,-1.418,6.914,7.754,-0.9023,4.344,11.5,-14.02,-1.5,0.5894,1.11,2.05,3.146,12.71,8.984,38750.0,2.807,67.1,108.06,977.5,0.0,78.9,114.9,1089.0,0.0,45.78,32.5,172.5,32.0,-0.6143,0.0282,0.0896,8.28,6.24,5.816
s_2,u_1,Walking,-0.1121,2.559,7.21,-5.67,-0.36,0.5195,0.3325,1.47,1.931,9.76,3.371,18.23,2.34,9.555,0.324,-0.2974,2.244,2.752,0.177,2.941,13.1,-4.06,-0.76,1.678,3.066,0.93,2.137,10.4,3.7,19500.0,2.719,22.42,23.39,105.44,20.0,39.0,124.6,1562.0,0.0,27.0,25.69,142.4,13.0,0.457,0.4922,0.3865,7.945,5.168,8.21
s_3,u_1,Jogging,-5.914,7.84,8.12,-19.23,-3.105,-0.501,-1.09,4.75,6.78,6.75,8.39,19.77,-7.63,5.18,0.2354,-1.34,7.34,7.363,-1.421,4.113,10.04,-14.02,-1.65,0.4915,0.9634,2.11,2.99,12.67,8.41,37020.0,2.795,60.66,108.4,946.0,0.0,73.06,114.94,1080.0,0.0,45.22,31.36,227.2,0.0,-0.577,-0.1304,0.3276,7.95,6.293,7.24
s_4,u_1,Walking,-0.3894,3.074,7.86,-8.31,-0.825,0.2134,-0.2498,2.05,2.494,9.75,4.74,19.72,0.65,9.7,0.1313,-0.6904,3.2,3.898,0.1719,4.11,16.94,-5.28,-1.08,1.645,2.88,1.75,3.062,11.01,4.785,23060.0,2.742,27.58,27.86,204.0,7.0,54.94,125.6,1560.0,0.0,42.16,30.53,216.0,14.0,0.4827,0.2761,0.2417,6.316,4.23,6.207
s_5,u_1,Walking,0.4238,3.295,10.08,-5.86,-0.04,0.428,-0.4001,2.47,2.723,9.64,4.387,19.56,1.95,9.32,0.334,-0.6533,3.465,3.643,-0.06094,4.29,16.17,-6.05,-1.14,1.847,3.684,1.63,2.99,10.85,4.88,22660.0,2.654,31.36,27.95,187.0,7.0,52.12,123.44,1543.0,0.0,42.38,33.9,194.8,14.0,0.555,0.4016,0.2861,5.445,4.805,6.293
s_6,u_1,Jogging,7.28,8.2,19.95,-4.02,4.254,0.316,-1.452,6.21,7.484,4.117,7.746,19.7,-11.33,1.915,0.5396,-0.782,4.477,6.52,0.2051,4.22,13.29,-9.81,-0.61,0.9688,1.351,1.9,3.094,12.0,8.44,34430.0,2.805,77.0,115.44,1165.0,0.0,69.3,86.7,659.0,0.0,44.94,28.94,166.5,43.0,0.532,0.1973,0.001297,6.125,7.0,4.75
s_7,u_1,Jogging,-6.137,7.71,5.79,-19.23,-3.086,-0.543,-1.221,4.566,6.867,6.715,8.02,19.77,-4.9,4.48,0.3381,-1.317,6.36,7.035,-0.4937,4.46,12.87,-10.8,-1.33,0.8965,0.8857,2.105,3.3,12.195,8.836,36300.0,2.693,56.28,111.25,982.0,0.0,70.8,111.9,1075.0,0.0,44.4,35.34,228.6,42.0,-0.653,-0.08905,0.1812,8.39,5.848,6.305
s_8,u_1,Jogging,-6.137,8.03,7.35,-19.23,-2.506,-0.5503,-1.269,4.44,7.156,6.53,8.48,19.77,-5.37,4.08,0.3818,-1.353,6.625,7.527,-1.641,5.23,14.21,-15.94,-2.15,0.679,1.062,2.05,3.684,12.74,9.17,39460.0,2.668,65.2,109.94,981.5,0.0,71.1,115.1,1045.0,0.0,52.34,45.47,302.8,41.0,-0.681,0.02153,0.06213,7.75,7.094,7.332
s_9,u_1,Upstairs,-4.64,2.295,1.33,-15.13,-4.46,-0.4797,2.959,1.035,1.598,8.625,2.998,18.47,1.8,8.45,0.3179,0.279,1.82,2.334,1.096,1.573,7.55,-3.57,0.95,0.4177,1.657,0.805,1.155,10.17,3.24,18220.0,2.463,28.48,58.97,743.0,0.0,37.56,109.25,1380.0,0.0,17.55,16.73,175.2,0.0,-0.67,0.1466,-0.1609,32.0,5.742,4.97
s_10,u_1,Standing,2.553,0.684,4.52,0.34,2.64,-0.4941,0.944,0.38,0.5176,9.03,0.3962,10.23,7.5,9.0,-0.323,1.979,0.19,0.2854,-0.448,0.608,2.72,-1.42,-0.61,2.879,9.32,0.13,0.3657,9.44,0.387,14280.0,2.172,9.5,32.06,408.5,0.0,13.45,113.56,1445.0,0.0,6.51,6.99,71.7,0.0,-0.273,-0.097,0.2642,5.465,3.926,19.6
